content,true_label,pred_label
"Investing.com - Kinross Gold (NYSE:KGC) reported on Wednesday third quarter earnings that beat analysts' forecasts and revenue that fell short of expectations. Kinross Gold announced earnings per share of $0.25 on revenue of $1.13B. Analysts polled by Investing.com anticipated EPS of $0.21 on revenue of $1.16B. Kinross Gold shares are up 71.1% from the beginning of the year, still down 21.38% from its 52 week high of $10.31 set on September 18. They are outperforming the EUR/USD which is down 0% from the start of the year. Kinross Gold shares gained 1.11% in after-hours trade following the report. Kinross Gold's report follows an earnings beat by Sherwin-Williams on October 27, who reported EPS of $8.29 on revenue of $5.12B, compared to forecasts EPS of $7.79 on revenue of $5.07B. Vale ADR had missed expectations on October 28 with third quarter EPS of $0.63 on revenue of $10.76B, compared to forecast for EPS of $0.64 on revenue of $10.81B. Stay up-to-date on all of the upcoming earnings reports by visiting Investing.com's earnings calendar Get an up-to-the-minute summary from WarrenAI, our powerful AI financial researcher. It's just like ChatGPT for investors, but with access to 1,200+ premium metrics spanning 10 years of data to instantly screen fundamentals, summarize breaking news, and reveal what Wall Street analysts are really saying about KGC.

Ask questions in your own language and get insider answers in seconds. Think of it as your experienced investment partner—always ready to help you think through every angle of KGC.",positive,positive
"Investing.com - The U.S. dollar rose Tuesday, climbing to 10-month highs after bond yields soared to 16-year peaks amid growing expectations that U.S. interest rates will rise further this year. At 03:15 ET (07:15 GMT), the Dollar Index, which tracks the greenback against a basket of six other currencies, traded 0.2% higher at 105.880, having touched its highest level since November at 106.100 on Monday. The dollar received a boost after Minneapolis Federal Reserve Bank President Neel Kashkari said late Monday the U.S. central bank probably needs to raise borrowing rates further and keep them high for some time to bring inflation back down to 2%. ""If the economy is fundamentally much stronger than we realized, on the margin, that would tell me rates probably have to go a little bit higher, and then be held higher for longer to cool things off,"" he said at an event at the Wharton School of Business The Fed last week held its policy rate steady in a range of 5.25%-5.50%, but the policymakers also indicated they are likely to keep rates high longer than earlier thought, with less than half expecting to cut rates to below 5% next year. This combination of hawkish Fed speak as well as resilient economic data has resulted in the 10-year Treasury yield topping 4.5% for the first time since 2007. There are economic numbers to digest later Tuesday, in the form of U.S. consumer confidence and home sales data, which could impact the dollar later in the session. The dollar strength has weighed heavily on the euro and sterling, with the likelihood of the Fed increasing interest rates again this year contrasting with the European Central Bank hinting at a pause in its hiking cycle while the Bank of England halted its prolonged run of interest rate hikes last week. EUR/USD fell 0.1% to 1.0575, continuing Monday’s 0.5% drop and on course for a 3% drop in the quarter, its worst quarterly percentage loss for a year. GBP/USD fell 0.3% to 1.2175, dropping to a six-month low, on course for a hefty loss of 3.8% over the three months to September. USD/JPY rose 0.2% to 149.14, with the yen close to a 11-month low against the dollar. The pair remains close to the 150 level, which traders expect to attract intervention by the government. The currency was battered in recent sessions by the Bank of Japan reiterating its ultra-dovish stance, a stance which contrasts with the more hawkish position of the Fed. USD/CNY traded largely flat at 7.3111, with the Chinese yuan struggling near 10-month lows, weighed by persistent concerns over weakness in its massive debt-ridden property sector. Focus this week will be on Chinese purchasing managers’ index data, which is expected to show continued weakness in business activity. The best opportunities often hide in plain sight—buried among thousands of stocks you'd never have time to research individually.

That's why smart investors use our Stock Screener with 50+ predefined screens and 160+ customizable filters to surface hidden gems instantly.

For example, the Piotroski's Picks method averages 23% annual returns by focusing on financial strength, and you can get it as a standalone screen. Momentum Masters catches stocks gaining serious traction, while Blue-Chip Bargains finds undervalued giants.

With screens for dividends, growth, value, and more, you'll discover opportunities others miss. Our current favorite screen is Under $10/share, which is great for discovering stocks trading under $10 with recent price momentum showing some very impressive returns!",neutral,neutral
"By Peter Nurse Investing.com - European stock markets are expected to open lower Friday, with sentiment hit by the broad sell-off on Wall Street overnight amid fears that aggressive central bank tightening will be needed to tame soaring inflation, severely hitting economic growth. At 2 AM ET (0600 GMT), the DAX futures contract in Germany traded 0.3% lower, CAC 40 futures in France dropped 0.2% and the FTSE 100 futures contract in the U.K. fell 0.2%. All three main Wall Street benchmarks closed sharply lower Thursday, with the blue chip Dow Jones Industrial Average falling more than 1,000 points, or 3.1%, its worst daily performance since October 2020. The tech-heavy Nasdaq Composite fell 5%, its biggest one-day percentage decline since June 2020 and its lowest finish since November 2020. The Federal Reserve raised the benchmark interest rate by a half-point on Wednesday, its biggest hike in two decades, but fears are mounting that larger hikes will be needed to combat inflation running at levels not seen in four decades. The Bank of England lifted its benchmark rate on Thursday to the highest level since 2009 while warning that Britain could see inflation at 10%, and the head of Germany's Ifo institute said Friday that the European Central Bank must quickly raise interest rates to combat high inflation in the Eurozone. Worries are also mounting about the economy in China, the world’s second-largest economy and regional growth driver, as the country’s decision-makers appeared to double down on its zero-COVID policy, a strategy that is seen upsetting global supply chains and hitting growth. Back in Europe, German industrial production fell a massive 3.9% on the month in March, from a rise of 0.2% the previous month, illustrating the economic difficulties the Eurozone’s largest economy is suffering. However, the major economic release Friday comes from the U.S., with the monthly official jobs report likely to be studied carefully for clues on labor market strength and the likely impact on monetary policy. In corporate news, ING (AS:INGA), the largest Dutch bank, reported a disappointing first-quarter profit, with its earnings hit by hefty provisions at its wholesale banking division. Earnings from the likes of Adidas (H:ADSGn) and British Airways parent IAG (LON:ICAG) are also scheduled before the open. Oil prices edged higher Friday, climbing for the third straight session, on persistent concerns over the tightness of global supply, particularly with the European Union, the world's largest trading bloc, set to phase out imports of Russian oil. The Organization of the Petroleum Exporting Countries and allied producers, a group known as OPEC+, agreed on Thursday to raise June production by a modest 432,000 barrels per day, ignoring calls from consuming nations to increase output more to lower prices. By 2 AM ET, U.S. crude futures traded 0.4% higher at $108.72 a barrel, while the Brent contract rose 0.4% to $111.37. Both benchmarks are on track to rise for a second week in a row. Additionally, gold futures fell 0.1% to $1,874.35/oz, while EUR/USD traded 0.2% lower at 1.0522. Get an up-to-the-minute summary from WarrenAI, our powerful AI financial researcher. It's just like ChatGPT for investors, but with access to 1,200+ premium metrics spanning 10 years of data to instantly screen fundamentals, summarize breaking news, and reveal what Wall Street analysts are really saying about INGA.

Ask questions in your own language and get insider answers in seconds. Think of it as your experienced investment partner—always ready to help you think through every angle of INGA.",neutral,neutral
"Investing.com -- U.S. stocks were gaining as investors awaited more employment data ahead of key reports on inflation and jobs this week. At 11:31 ET (14:31 GMT), the Dow Jones Industrial Average rose 132 points or 0.4%, while the S&P 500 rose 0.9% and the NASDAQ Composite rose 1.4%. Wall Street’s main indices closed with healthy gains Monday, with the blue-chip Dow Jones Industrial Average rising over 200 points or 0.6%, while the broad-based S&P 500 climbed 0.6% and the tech-heavy Nasdaq Composite rose 0.8%. These gains represented the second consecutive winning session, something of a rarity during a difficult August, as economic data tended to point to a resilient U.S. economy, opening the possibility of monetary policy remaining tight for longer than expected. All three indices are on course to post hefty losses this month, with just three sessions left, with the DJIA currently down 2.5%, the S&P down 3.3%, and the Nasdaq 4.3% lower. Federal Reserve Chair Jerome Powell did little to dissuade markets from this “higher for longer” mantra for rates, as he left open the possibility of further rate increases and stressed the U.S. economy’s surprising strength at the Jackson Hole symposium late last week. Powell also stressed the importance of incoming economic data in helping the U.S. central bank policymakers make monetary policy decisions going forward. With this in mind, investors will have a chance to pick through data on job openings. The Job Openings and Labor Turnover Survey, or JOLTS, survey came in cooler than expected, with employers posting 8.827 million jobs as of the end of July. Economists had expected the number of available positions to drop to 9.47 million, down from 9.58M in the previous month - the lowest level in more than two years, but still indicative of a tight jobs market. The JOLTS report will serve as a prelude to the much anticipated publication of the key U.S. nonfarm payroll figures later this week. As far as the corporate sector is concerned, Best Buy (NYSE:BBY) will be the highlight of the session’s second quarter earnings slate. The electronics retailer beat expectations on the top and bottom lines and the shares rose 5.3%. Chinese EV manufacturer Nio (NYSE:NIO) reported a wider-than-expected loss in the quarter and lower deliveries. Shares fell 5%. Oil prices firmed Tuesday, as Hurricane Idalia was expected to make landfall in Florida on Wednesday. This is likely to impact crude production on the eastern side of the U.S. Gulf Coast, causing supply issues in the largest crude consumer in the world. The industry body American Petroleum Institute is scheduled to release its weekly U.S. inventory forecasts later in the session. (Peter Nurse and Oliver Gray contributed to this item.) ProPicks AI evaluates BBY alongside thousands of other companies every month using 100+ financial metrics.

Using powerful AI to generate exciting stock ideas, it looks beyond popularity to assess fundamentals, momentum, and valuation. The AI has no bias—it simply identifies which stocks offer the best risk-reward based on current data with notable past winners that include Super Micro Computer (+185%) and AppLovin (+157%).

Want to know if BBY is currently featured in any ProPicks AI strategies, or if there are better opportunities in the same space?",neutral,neutral
"By Peter Nurse Investing.com - U.S. stocks are seen opening higher Wednesday, with gains seen across all sectors as the optimism following the news of a workable vaccine for the Covid-19 virus persists. At 7:15 AM ET (1205 GMT), the Dow Futures contract was up 200 points, or 0.7%, while S&P 500 Futures traded 21 points, or 0.7%, higher, and Nasdaq 100 Futures climbed 106 points, or 0.9%. Democrat Joe Biden’s presidential election victory, although yet to be confirmed, coupled with Pfizer 's (NYSE:PFE) news that its Covid-19 vaccine was effective, prompted a repricing on Wall Street this week. Cyclical stocks, which require the economy to perform, have seen strong demand, at the expense of the stay-at-home or tech stocks which had done so well previously. The Dow Jones Industrial Average is up 11% in November, rising in six of the last seven sessions and closing in on a new record high, while the Nasdaq Composite has fallen for the last two days. That said, the rotation seems to be coming to an end - at least in the short term - with tech set to post strong gains Wednesday after two days of severe underperformance. “The background story for markets remains the contrast between vaccine-related hopes and sharply rising infections, while investors stay on the lookout for more hints from President-elect Biden around his plans for virus response, fiscal stimulus and foreign policy,” said ING analyst Francesco Pesole, in a research note. The United States reported a record number of new Covid-19 cases for the seventh day in a row on Tuesday, while the number of deaths surged to their highest daily count since August and hospital admissions hit an all-time high. The economic data slate is largely empty Wednesday, as it's the Veterans Day and the Treasury market is closed. The earnings calendar also lacks a standout release, with the main focus being on Lemonade (NYSE:LMND), the online home insurer that went public in July. Oil prices pushed higher Wednesday, continuing the recent positive tone generated by Pfizer’s vaccine news, and helped further U.S. crude inventories falling by more than expected. Traders will focus on OPEC’s monthly oil report, which will update the cartel’s supply and demand forecasts. U.S. crude futures traded 2.6% higher at $42.42 a barrel, while the international benchmark Brent contract rose 2.4% to $44.67. Both contracts are up more than 10% this week. Elsewhere, gold futures fell 0.1% to $1,875.55/oz, while EUR/USD traded 0.4% lower at 1.1766. Get an up-to-the-minute summary from WarrenAI, our powerful AI financial researcher. It's just like ChatGPT for investors, but with access to 1,200+ premium metrics spanning 10 years of data to instantly screen fundamentals, summarize breaking news, and reveal what Wall Street analysts are really saying about PFE.

Ask questions in your own language and get insider answers in seconds. Think of it as your experienced investment partner—always ready to help you think through every angle of PFE.",positive,negative
"For the fifth consecutive trading sessions, the EUR / USD stabilized around the psychological 1.1200 support level, waiting for any developments amid stronger bearish momentum, which pushed during last week&#39;s trading to the 1.1180 support leve. The Eurozone economy continues to slow down due to the escalation of the global trade war between the world two largest economies, supporting the ECB&#39;s assertion of its readiness to ease its monetary policy, which could lead the bank to cut interest rates to negative as well as other stimulus plans. Despite the mixed results of recent US economic data, it will not be an incentive for the Federal Reserve to accelerate its monetary easing even after China&#39;s latest move to devalue the Yuan against the US dollar to its lowest level in 11 years in response to the imposition of more US tariffs on Imports from China.The independence of the US central bank may prevent interference in the currency market, as happened with China, which was aimed at striking the competitiveness of US products in world markets, where US exports become more expensive than Chinese products. This step followed a decision to ban the import of all kinds of US agricultural products and urged importers to search for other sources and countries. The continued aggravation of the US-China trade dispute could increase pressure on global economic growth and consequently global central banks are moving towards further easing of their monetary policy.Technically: according to the latest technical analysis and what we now confirm, the performance of the EUR / USD below the 1.1200 psychological support level will support the downward strength and move the pair to test stronger support areas that may reach the support levels at 1.1140 and 1.1080 and the psychologically important 1.1000. On the upside in case of a correction, the closest resistance levels for the pair will be 1.1285, 1.1335 and 1.1420 respectively. The pair&#39;s performance on the daily chart still confirms that it sticks to its movement within a bearish channel.On the economic data front: the economic calendar at the beginning of this week&#39;s trading has no significant data from either the Eurozone or the United States.",negative,neutral
"Investing.com - European stock markets traded lower Tuesday, handing back some of the prior month's gains as investors digested key corporate results as well as disappointing manufacturing activity data. At 04:05 ET (08:05 GMT), the DAX index in Germany traded 0.6% lower, the CAC 40 in France dropped 0.5%, while the FTSE 100 in the U.K. traded 0.2% lower. The main European indices recorded healthy gains during July, with the pan-Europe Stoxx 600 up 2%, helped by signs that European consumer inflation had peaked. However, the aggressive monetary policy tightening that the European Central Bank has undertaken to curb inflation has had an impact on growth in the region. The extent of this was illustrated by the release of manufacturing PMI numbers from the eurozone and many of its members. Spain was the first out of the blocks, with its manufacturing PMI falling further into contraction territory. Italy's PMI showed some improvement, but remained firmly below the 50 line that separates expansion from contraction. However, it was Germany that really disappointed, as the manufacturing PMI in the eurozone's largest economy fell to 38.8 in July from 40.6 in June. Data from China earlier in the session showed the Caixin/S&P Global manufacturing purchasing managers' index fell to 49.2 in July from 50.5 in June, indicating that factory activity in the second largest economy in the world contracted in yet another sign of the country’s post-pandemic recovery's struggles. Additionally, data from the British Retail Consortium, released early Tuesday, showed that prices in U.K. stores fell for the first time in two years, coming in 0.1% lower in July than in June, while annual inflation dropped to 7.6% in July from 8.4% the prior month. The Bank of England meets on Thursday, and is widely expected to raise interest rates for the 14th consecutive meeting as it continues to battle the highest inflation rate among the major industrialized nations. The European earnings season is now in full flow. HSBC (LON:HSBA) stock rose 2.8% after Europe’s largest bank announced a $2 billion buyback after reporting a higher profit and revenue for the first half of 2023, aided chiefly by stronger margins amid rising interest rates. The Asia-focused bank also raised its near-term return on tangible equity goal, a key performance target. BP (LON:BP) stock rose 2% after the oil major raised its dividend and announced a share buyback despite an earnings drop, while Diageo (LON:DGE) stock rose 1.9% after the spirits giant announced a 6.5% rise in sales for the past year as it was able to pass higher costs onto its resilient customers. Domino’s (LON:DOM) stock soared over 6% after the U.K. pizza group announced a hefty share buyback program and raised its annual profit forecast range. On the flip side, Aston Martin (LON:AML) stock fell over 6% after the luxury car manufacturer said on Tuesday it has raised over £200 million (£1 = $1.2818) in equity to cut down its expensive debt. Fresnillo (LON:FRES) stock fell over 7% after the miner disappointed by not lifting its 2023 forecasts despite the high prices of precious metals. Oil prices slipped lower Tuesday after private survey data showed further signs of weakness in the Chinese economy, the world’s largest importer of crude. By 04:05 ET, U.S. crude futures traded 0.5% lower at $81.36 a barrel, while the Brent contract dropped 0.5% to $85.00. However, both contracts remained near three-month highs on signs of tightening global supply, as major producers started implementing output cuts. Additionally, gold futures fell 0.8% to $1,993.35/oz, while EUR/USD traded 0.1% lower at 1.0981. ProPicks AI evaluates HSBA alongside thousands of other companies every month using 100+ financial metrics.

Using powerful AI to generate exciting stock ideas, it looks beyond popularity to assess fundamentals, momentum, and valuation. The AI has no bias—it simply identifies which stocks offer the best risk-reward based on current data with notable past winners that include Super Micro Computer (+185%) and AppLovin (+157%).

Want to know if HSBA is currently featured in any ProPicks AI strategies, or if there are better opportunities in the same space?",neutral,neutral
"By Karen Brettell NEW YORK (Reuters) - The dollar dipped against the euro on Friday but gained against the yen as investors evaluated comments by Federal Reserve Chair Jerome Powell that the central bank could hike rates again if inflation remains above its target. The Japanese currency also remained on watch for possible intervention as it holds near a one-year low against the greenback. Powell and other Fed officials said on Thursday that they are still not sure that interest rates are high enough to finish the battle with inflation, with Powell saying that the Fed may get further help in taming price increases from improvements in the supply of goods, services and labor. Markets are looking for “the ray of sunshine” that the Fed is done hiking rates, even though Powell since Jackson Hole has been clear that it will depend on data as it comes in, said Lou Brien, market strategist at DRW Trading in Chicago. “Yesterday was another one of those occasions where Powell reminded that we have to take care of inflation, we don’t know that we’ve done enough yet - we will know as the data unfolds but we might have to do more if the data doesn’t unfold as we anticipate,” he said. Consumer price inflation and retail sales data due next week are expected to offer the next clues on whether further rate increases are likely. The dollar briefly gained on Friday after a survey showed that U.S. consumer sentiment fell for a fourth straight month in November, and households' expectations for inflation rose again, with their medium-term outlook for price pressures shooting to the highest in more than a dozen years. The dollar index was last down 0.06% on the day at 105.85. The dollar tumbled last week after Powell was interpreted as striking a dovish tone after the Fed’s two-day meeting, with softer-then-expected jobs data on Friday adding to a belief that the Fed has finished hiking interest rates. Fed funds futures traders are pricing in a 22% chance of an additional hike by January, according to the CME Group’s FedWatch Tool. Some analysts, however, see the market as too complacent about the risk that the Fed is not yet done. ""Markets continue to underestimate the persistence of inflation globally and that in turn leads them to underestimate the likelihood of further monetary tightening. Right now, market pricing is leaning heavily to rate cuts by mid-2024 and we suspect this will have to be rethought in the coming weeks,"" Win Thin, global head of currency strategy at Brown Brothers Harriman said in a note on Friday. Fed Bank of San Francisco President Mary Daly said on Friday she is not ready to say yet whether the central bank is done raising its interest rate target to get inflation back to 2%. The dollar also spiked on Thursday in line with Treasury yields after the U.S. Treasury Department saw weak demand for a $24 billion 30-year bond auction. It was not clear whether demand for the debt was impacted by a ransomware attack on the Industrial and Commercial Bank of China's (ICBC) U.S. arm, which has disrupted some trades in the U.S. Treasury market. The euro gained 0.10% to $1.0679. European Central Bank interest rates kept at a record high for long enough could return inflation to the bank's 2% target, ECB President Christine Lagarde said on Friday. Against the Japanese yen, the dollar gained 0.16% to 151.59 yen, the highest since Nov. 1. Traders remained on alert for potential intervention in the Japanese currency, which is near a one-year low of 151.74 reached last week. The yen is on track for its worst week since August, with the dollar gaining 1.48% against the currency this week. The euro also hit a 15-year high of 161.95 yen on Friday. The Norwegian crown jumped after data showed Norway's inflation was stronger than expected in October, boosting market rate hike expectations. The dollar was last down 0.94% at 11.13 crowns to the dollar. The Australian dollar fell to $0.63395, the lowest since Nov. 1. It has tumbled since the Reserve Bank of Australia on Tuesday raised interest rates to a 12-year high but played down the probability of further increases. Bitcoin, the world's largest cryptocurrency, was at $37,167, having peaked at $37,978 in the previous session, its highest level since May 2022. Prices of the digital assets have surged after speculation of an imminent approval of BlackRock (NYSE:BLK)'s spot bitcoin ETF. A spot crypto ETF would make the sector ""more accessible for institutional investors to enter the crypto space, likely boosting demand and subsequently prices,"" said Carl Szantyr, managing partner of digital asset hedge fund Blockstone Capital. ======================================================== Currency bid prices at 3:01PM (2001 GMT) Description RIC Last U.S. Close Pct Change YTD Pct High Bid Low Bid Previous Change Session Dollar index 105.8500 105.9200 -0.06% 2.280% +106.0100 +105.7400 Euro/Dollar $1.0679 $1.0668 +0.10% -0.34% +$1.0693 +$1.0657 Dollar/Yen 151.5900 151.3500 +0.16% +15.62% +151.5950 +151.2300 Euro/Yen 161.88 161.44 +0.27% +15.38% +161.9400 +161.3600 Dollar/Swiss 0.9027 0.9031 -0.04% -2.38% +0.9046 +0.9003 Sterling/Dollar $1.2216 $1.2221 -0.03% +1.02% +$1.2237 +$1.2187 Dollar/Canadian 1.3810 1.3806 +0.03% +1.93% +1.3855 +1.3792 Aussie/Dollar $0.6356 $0.6366 -0.16% -6.76% +$0.6369 +$0.6340 Euro/Swiss 0.9637 0.9632 +0.05% -2.61% +0.9643 +0.9620 Euro/Sterling 0.8739 0.8725 +0.16% -1.19% +0.8755 +0.8718 NZ $0.5888 $0.5894 -0.10% -7.27% +$0.5904 +$0.5879 Dollar/Dollar Dollar/Norway 11.1270 11.2310 -0.94% +13.36% +11.2190 +11.1150 Euro/Norway 11.8845 11.9629 -0.66% +13.25% +11.9774 +11.8629 Dollar/Sweden 10.9150 10.9234 +0.04% +4.87% +10.9439 +10.8795 Euro/Sweden 11.6557 11.6506 +0.04% +4.54% +11.6675 +11.6256 Most investors will find it hard to answer that question with total confidence. Short of a guarantee, which no one can give you, the most successful traders stick to proven best practices without letting hype or hyper-vigilance take over their better judgment.

But that doesn't mean you can't use smart shortcuts. If you're considering BLK, try chatting with WarrenAI, our powerful AI financial assistant.

It's just like ChatGPT for investors, but with access to 10 years of company data, a built-in screener, Wall Street analysts' reports, and earnings call transcripts for real-time, vetted insights.

Even if you end up going with your gut feeling, at least you'll know why.",neutral,neutral
"By Hideyuki Sano TOKYO (Reuters) - The dollar is on track for its biggest weekly fall in more than a decade on Friday as a series of stimulus steps around the world, including a $2.2 trillion U.S. package, calmed a panic over a global recession following the coronavirus outbreak. Data showing an unprecedented rise in U.S. jobless claims underscored the virus' devastating impact on the economy, but subsequent rise in Wall Street shares raised hopes a torrent of selling in risk assets may have run its course for now. The dollar dropped to 109.42 yen , shedding 1.44% overnight while the euro also jumped 1.40% on Thursday and last stood at $1.1025 (EUR=). The biggest mover among major currencies was sterling, which rose 2.8% overnight before giving up part of that gain in early Asian trade. The British pound last stood at $1.2183 . An easing in dollar funding conditions is helping to reduce demand for the dollar. The number of Americans filing claims for unemployment benefits surged to a record of more than 3.28 million last week as strict measures to contain the coronavirus pandemic unleashed a wave of layoffs. While that eclipsed the previous record of 695,000 set in 1982 and was up 3 million from last week, it was below investors' worst fears. The focus stayed on an unprecedented $2.2 trillion stimulus expected to be approved by the U.S. House of Representatives on Friday. The dollar's index against six other major currencies (=USD) lost 1.5%, its biggest daily fall in almost four years. So far this week it is down 2.9%. If sustained by the end of U.S. trade, that would mark the biggest weekly decline since 2009, underscoring the currency market's extreme volatility after last week racking up its biggest weekly gain since the global financial crisis more than a decade ago. Highly choppy trade could continue towards the end of month, when there tend to be large flows from corporate and investors to hedge their currency exposures. In particular, many asset managers may need to adjust their currency hedge positions after wild swings in global share prices. The dollar's rises until last week, in particular against the Australian dollar and the New Zealand dollar were primarily driven by such currency hedge adjustment, said analysts at National Bank of Australia in report. ""We can well believe that we are for an extremely rocky ride in the currency markets between now and month end,"" they said. ""Some will not yet have adjusted, and some will now find themselves under-hedged given the big equity reversal so far this week. And, some may be looking to implement changes to strategic hedge ratios at the same time. Buckle up."" The Australian dollar traded at $0.6068 , having gained more than 10% from its 17-year low of $0.5510 touched on Thursday last week. The New Zealand dollar stood at $0.5974.",neutral,neutral
"By Stanley White TOKYO (Reuters) - The pound fell against the dollar and euro on Monday after British Prime Minister Boris Johnson was admitted to hospital for tests after showing persistent symptoms of the coronavirus. The yen fell against the dollar and the antipodean currencies after Japanese media reported Prime Minister Shinzo Abe may declare a state of emergency as early as Tuesday to curb an alarming acceleration in coronavirus infections. The dollar was on the back foot against the euro after data last week showed companies in the United States shed jobs at break-neck speed as the COVID-19 pandemic leads the global economy into a deep recession. ""When a head of state or government is stricken like this, it will cause concern for holders of sterling and sterling assets,"" said Masafumi Yamamoto, chief currency strategist at Mizuho Securities in Tokyo. ""Coronavirus cases in Japan may not peak for another month, so the markets will think that now it's Japan's turn. A state of emergency is necessary, but this could be yen negative."" The pound fell 0.26% to $1.2242 on Monday in Asia. Against the euro, it (EURGBP=D3) fell 0.27% to 88.39 pence. Johnson was admitted in what Downing Street said was a ""precautionary step"" because he was showing persistent symptoms of COVID-19 10 days after testing positive for the novel coronavirus. Also weighing on sterling is Britain's constitution - an unwieldy collection of sometimes ancient and contradictory precedents - that offers no formal deputy or caretaker who would take over if Johnson cannot continue to lead. The coronavirus, which emerged in China late last year, has turned into a pandemic that has infected more than a million people, killed over 68,000 and paralysed large swathes of the global economy. In the offshore market, China's yuan held steady at 7.1134 per dollar after the mainland reported 39 new coronavirus cases on Sunday, all but one of them imported, up from the 30 reported a day earlier. China's mainland markets are closed Monday for a public holiday. YEN WEAKENS The yen fell 0.4% to 108.93 against the dollar. It also weakened against the euro (EURJPY=EBS), the Australian dollar (AUDJPY=), and the New Zealand dollar (NZDJPY=). Japan's prime minister will declare a state of emergency over the coronavirus as early as Tuesday, the Yomiuri newspaper reported, as the number of infections topped 1,000 in the capital, Tokyo. Abe will likely announce his plans to declare the emergency on Monday, the paper said. Pressure has been mounting on the government to make the move as the pace of infections - while slow versus harder-hit countries around the world - continues to accelerate. The dollar eased slightly to $1.0814 per euro (EUR=EBS) and held steady at 0.9769 Swiss franc . U.S. President Donald Trump on Sunday expressed hope that the United States was seeing a ""leveling-off"" of the virus crisis in some of the nation's hot spots. However, sentiment for the greenback remains fragile after a series of data last week showed U.S. job losses are soaring as draconian measures to curb the virus hurt consumer spending and factory activity. Currencies of major oil producers fell in Asia on Monday as crude prices gave up some of their recent gains after Saudi Arabia and Russia postponed to Thursday a meeting about a potential pact to cut production. [O/R] The rouble lost about 1% against the dollar, while the Mexican peso fell 1.6%. The Norwegian crown also fell more than 0.3% against the dollar.",neutral,neutral
